"search_string"	"feilstaving_av"
"interjør arkitekt"	"interiørarkitekt"
"interkulturell komunikasjon"	"interkulturell kommunikasjon"
"interlektuell kommunikasjon"	"intellektuell kommunikasjon"
"internajsonale studier"	"internasjonale studier"
"internasjoale studier"	"internasjonale studier"
"internasjoanle studier"	"internasjonale studier"
"internasjonal buisness"	"international business"
"internasjonal komunikasjon"	"internasjonal kommunikasjon"
"internasjonal markedføring"	"internasjonal markedsføring"
"internasjonale relasjoner"	"internasjonale relasjoner"
"internasjonale relesjoner"	"internasjonale relasjoner"
"internasjonale studer"	"internasjonale studier"
"internasjonale stuider"	"internasjonale studier"
"internasjonalestudier"	"internasjonale studier"
"international baccalaurate"	"international baccalaureate"
"international baccalaureat"	"international baccalaureate"
"international baccelaurate"	"international baccalaureate"
"international beredskap"	"internasjonal beredskap"
"international buisness"	"international business"
"international busniess"	"international business"
"international engelsk"	"internasjonal engelsk"
"international managment"	"international management"
"international manegment"	"international management"
"international markedsføring"	"internasjonal markedsføring"
"international politikk"	"internasjonal politikk"
"internationale relasjoner"	"internasjonale relasjoner"
"internationale studier"	"internasjonale studier"
"internetteknologi"	"internettteknologi"
"interrese"	"interesse"
"interrese tester"	"interessetest"
"interresetest"	"interessetest"
"interresetester"	"interessetest"
"interresse test"	"interessetest"
"interressetest"	"interessetest"
"interressetester"	"interessetest"
"interssetest"	"interessetest"
"interviju"	"intervju"
"interør designer"	"interiørdesigner"
"interørarkitekt"	"interiørarkitekt"
"interørdesigner"	"interiørdesigner"
"interørkonsulent"	"interiørkonsulent"
"intienør"	"ingeniør"
"intinør"	"ingeniør"
"intiressetest"	"interessetest"
"intjenør"	"ingeniør"
"intregiør"	"interiør"
"intregjør"	"interiør"
"intregjør arkitekt"	"interiørarkitekt"
"intreiør"	"interiør"
"intreiørarkitekt"	"interiørarkitekt"
"intrejør"	"interiør"
"intrejør arkitekt"	"interiørarkitekt"
"intrejør designer"	"interiørdesigner"
"intrejørdesigner"	"interiørdesigner"
"intreriør designer"	"interiørdesigner"
"intresse"	"interesse"
"intresse test"	"interessetest"
"intressetest"	"interessetest"
"intressetester"	"interessetest"
"intreør"	"interiør"
"intreør designer"	"interiørdesigner"
"intreørdesign"	"interiørdesign"
"intreørkonsulent"	"interiørkonsulent"
"intriør"	"interiør"
"intriør designer"	"interiørdesigner"
"intriørarkitekt"	"interiørarkitekt"
"intriørdesigner"	"interiørdesigner"
"intriørkonsulent"	"interiørkonsulent"
"intrør"	"interiør"
"intrør arkitekt"	"interiørarkitekt"
"intrørkonsulent"	"interiørkonsulent"
"intutisjon"	"institusjon"
"inustri"	"industri"
"inustriell økonomi"	"industriell økonomi"
"invasjon og ledelse"	"innovasjon og ledelse"
"inverstor"	"investor"
"investerings bank"	"investeringsbank"
"investeringsanalytiker"	"investerings analytiker"
"investør"	"investor"
"invistering"	"investering"
"inøk"	"INDØK"
"is hockey"	"ishockey"
"isbil sjåfør"	"isbilsjåfør"
"ishockey trener"	"ishockeytrener"
"iskrem selger"	"iskremselger"
"iskremsmaker"	"iskremsmaker"
"it"	"IT"
"it administrator"	"IT-administrator"
"it ansvarlig"	"IT-ansvarlig"
"it arbeider"	"IT-arbeider"
"it arkitekt"	"IT-arkitekt"
"it drifstekniker"	"IT-driftstekniker"
"it drift"	"IT-drift"
"it drift- og supporttekniker"	"IT drift- og supporttekniker"
"it driftfaget"	"ikt-driftsfaget"
"it driftsteknikker"	"IT-driftstekniker"
"it ingengjør"	"IT-ingeniør"
"it ingeniør"	"IT-ingeniør"
"it ingenjør"	"IT-ingeniør"
"it ingenør"	"IT-ingeniør"
"it inginør"	"IT-ingeniør"
"it ingjenør"	"IT-ingeniør"
"it konsolent"	"IT-konsulent"
"it konsul"	"IT-konsulent"
"it konsulent"	"IT-konsulent"
"it kordinator"	"IT-koordinator"
"it leder"	"IT-leder"
"it medarbeider"	"IT-medarbeider"
"it og informasjonssystemer"	"IT og informasjonssystemer"
"it og informasjonssytemer"	"IT og informasjonssystemer"
"it og informasjonsystem"	"IT og informasjonssystemer"
"it sikerhet"	"IT-sikkerhet"
"it sikkerhet"	"IT-sikkerhet"
"it sjef"	"IT-sjef"
"it support"	"IT-support"
"it utviklar"	"IT-utvikler"
"it utvikler"	"IT-utvikler"
"it utviklerfaget"	"IT-utviklerfaget"
"it-driftsteknikker"	"IT-driftstekniker"
"it-selger"	"IT-selger"
"it-support"	"IT-support"
"it-utviklar"	"IT-utvikler"
"it-utvikler"	"IT-utvikler"
"it-utviklerfaget"	"IT-utvikler faget"
"iteriør"	"interiør"
"iteriørarkitekt"	"interiørarkitekt"
"iteriørkonsulent"	"interiørkonsulent"
"itingeniør"	"IT-ingeniør"
"itk"	"IKT"
"itkonsulent"	"IT-konsulent"
"ivestor"	"investor"
"jagarflypilot"	"jagerflypilot"
"jagarpilot"	"jagerpilot"
"jagefly"	"jagerfly"
"jagefly pilot"	"jagerflypilot"
"jageflyger"	"jagerflyger"
"jageflyver"	"jagerflyger"
"jager fly"	"jagerfly"
"jager fly pilot"	"jagerflypilot"
"jager flypilot"	"jagerflypilot"
"jagerflypiloy"	"jagerflypilot"
"jagerflyver"	"jagerflyger"
"jagerflyverpilot"	"jagerflypilot"
"java script"	"javascript"
"jeger pilot"	"jagerpilot"
"jegerfly"	"jagerfly"
"jegerfly pilot"	"jagerflypilot"
"jegerflyger"	"jagerflyger"
"jegerflyver"	"jagerflyger"
"jegerpilot"	"jagerpilot"
"jenteyrker"	"jenteyrker"
"jern binder"	"jernbinder"
"jernbanefører"	"jernbane fører"
"jernbanemontør"	"jernbane montør"
"jernbindere"	"jernbinder"
"jernbiner"	"jernbinder"
"jernbinner"	"jernbinder"
"jessheim vgs"	"landbruk Vg3"
"jetflypilot"	"jetflypilot"
"jirdmor"	"jordmor"
"job kompasset"	"Jobbkompasset"
"jobb compasset"	"Jobbkompasset"
"jobb intervju"	"jobbintervju"
"jobb kompase"	"Jobbkompasset"
"jobb kompaset"	"Jobbkompasset"
"jobb kompass"	"Jobbkompasset"
"jobb kompasset"	"Jobbkompasset"
"jobb kompasss"	"Jobbkompasset"
"jobb kompassset"	"Jobbkompasset"
"jobb konpasset"	"Jobbkompasset"
"jobb konsulent"	"jobbkonsulent"
"jobb muligheter"	"jobbmuligheter"
"jobb skygging"	"jobbskygging"
"jobb-kompasset"	"Jobbkompasset"
"jobbbkompasset"	"Jobbkompasset"
"jobbekompasset"	"Jobbkompasset"
"jobbhjul"	"jobb hjul"
"jobbintervju uten papir"	"jobbintervju uten papirer"
"jobbjulet"	"Jobbkompasset"
"jobbk"	"Jobbkompasset"
"jobbkalkulator"	"jobb kalkulator"
"jobbkarusell"	"jobb karusell"
"jobbkkompasset"	"Jobbkompasset"
"jobbko"	"Jobbkompasset"
"jobbkom"	"Jobbkompasset"
"jobbkomasset"	"Jobbkompasset"
"jobbkommpasset"	"Jobbkompasset"
"jobbkomp"	"Jobbkompasset"
"jobbkompas"	"Jobbkompasset"
"jobbkompasd"	"Jobbkompasset"
"jobbkompasdet"	"Jobbkompasset"
"jobbkompase"	"Jobbkompasset"
"jobbkompaset"	"Jobbkompasset"
"jobbkompasett"	"Jobbkompasset"
"jobbkompass"	"Jobbkompasset"
"jobbkompassey"	"Jobbkompasset"
"jobbkompassrt"	"Jobbkompasset"
"jobbkompassset"	"Jobbkompasset"
"jobbkompasswt"	"Jobbkompasset"
"jobbkompss"	"Jobbkompasset"
"jobbkompsset"	"Jobbkompasset"
"jobbkonpasset"	"Jobbkompasset"
"jobbkopasset"	"Jobbkompasset"
"jobbompasset"	"Jobbkompasset"
"jobbpass"	"jobb passet"
"jobbpasset"	"jobb passet"
"jobbsirkel"	"jobb sirkel"
"jobbskyging"	"jobbskygging"
"jobbsøknadd"	"jobbsøknad"
"jobkompaset"	"Jobbkompasset"
"jobkompass"	"Jobbkompasset"
"jobsøknad"	"jobbsøknad"
"jodmor"	"jordmor"
"joedmor"	"jordmor"
"jonalist"	"journalist"
"jonalistikk"	"journalistikk"
"jonarlist"	"journalist"
"joobkompasset"	"Jobbkompasset"
"jordemor"	"jordmor"
"jordmlr"	"jordmor"
"jordmo"	"jordmor"
"jordmoe"	"jordmor"
"jordmoor"	"jordmor"
"jordmord"	"jordmor"
"jordmore"	"jordmor"
"jordmorr"	"jordmor"
"jordmot"	"jordmor"
"jordmpr"	"jordmor"
"jordmr"	"jordmor"
"jordmødre"	"jordmor"
"jordmør"	"jordmor"
"jordnor"	"jordmor"
"jordor"	"jordmor"
"jordskifterettsdommer"	"jordskifteretts dommer"
"jorfar"	"jordfar"
"jormor"	"jordmor"
"jormord"	"jordmor"
"jornalis"	"journalist"
"jornalist"	"journalist"
"jornualist"	"journalist"
"jorunalist"	"journalist"
"jorunalistikk"	"journalistikk"
"jotdmor"	"jordmor"
"jounalistikk"	"journalistikk"
"jounarlist"	"journalist"
"jounarlistikk"	"journalistikk"
"jounralist"	"journalist"
"jouralist"	"journalist"
"jouranlist"	"journalist"
"jourist"	"jurist"
"journ"	"journalist"
"journa"	"journalist"
"journaist"	"journalist"
"journaliat"	"journalist"
"journalisr"	"journalist"
"journalistik"	"journalistikk"
"journalistikk oslomet"	"journalistikk Oslomet"
"journalistiskk"	"journalistikk"
"journalisy"	"journalist"
"journalsit"	"journalist"
"journalst"	"journalist"
"journalstikk"	"journalistikk"
"journlist"	"journalist"
"jourunalist"	"journalist"
"joutnalist"	"journalist"
"jprdmor"	"jordmor"
"jrdmor"	"jordmor"
"jrist"	"jurist"
"juiceterapaut"	"juiceterapeut"
"junalist"	"journalist"
"junarlist"	"journalist"
"juornalist"	"journalist"
"jurdisk"	"juridisk"
"jurdisk assistent"	"juridisk assistent"
"jurdisk rådgiver"	"juridisk rådgiver"
"jurdist"	"jurist"
"jurisk"	"juridisk"
"jurisr"	"jurist"
"jurisy"	"jurist"
"jurit"	"jurist"
"juritst"	"jurist"
"jurrist"	"jurist"
"jursit"	"jurist"
"jurst"	"jurist"
"jurust"	"jurist"
"jus og adminstrasjon"	"juss og administrasjon"
"jus årstudium"	"juss årsstudium"
"jusrist"	"jurist"
"juss administrasjon"	"juss administrasjon"
"juss bachelor"	"juss bachelor"
"juss og administasjon"	"juss og administrasjon"
"juss og adminstrasjon"	"juss og administrasjon"
"juss studie"	"jusstudiet"
"juss uio"	"juss uio"
"juss økonomi"	"juss økonomi"
"juss årstudium"	"juss årsstudium"
"jusss"	"juss"
"jutist"	"jurist"
"jægerpilot"	"jagerpilot"
"jåttå vgs"	"musikk Vg3"
"kabin besetning"	"kabinbesetning"
"kabin crew"	"cabin crew"
"kabin personal"	"kabinpersonal"
"kabinbesettning"	"kabinbesetning"
"kabinbessetning"	"kabinbesetning"
"kabincrew"	"cabin crew"
"kabinebesetning"	"kabinbesetning"
"kabinpersonell"	"kabinpersonal"
"kabinsetning fly"	"kabinbesetning fly"
"kabtein"	"kaptein"
"kafe"	"Kafé"
"kafe medarbeider"	"kafemedarbeider"
"kafeansatt"	"kafeansatt"
"kai arbeider"	"kaiarbeider"
"kalkulatur"	"kalkulator"
"kallender"	"kalender"
"kamera mann"	"kameramann"
"kamerafotograf"	"kamera fotograf"
"kameraman"	"kameramann"
"kantine arbeider"	"kantinearbeider"
"kantinemed"	"kantinemedarbeider"
"kantinesjef"	"kantinesjef"
"kapetin"	"kaptein"
"kapiten"	"kaptein"
"kappelan"	"kapellan"
"kappellan"	"kapellan"
"kaptain"	"kaptein"
"kapteim"	"kaptein"
"kaptein løytnant"	"kapteinløytnant"
"kaptien"	"kaptein"
"kaptin"	"kaptein"
"kaptrin"	"kaptein"
"karakte"	"karakter"
"karakter gjennomsnitt"	"karaktergjennomsnitt"
"karakter kalkulator"	"Karakterkalkulator"
"karakter kalkulatoren"	"Karakterkalkulator"
"karakter snitt"	"karaktersnitt"
"karakterdesignere"	"karakterdesigner"
"karaktere"	"karakterer"
"karakterkalk"	"Karakterkalkulator"
"karakterkalku"	"Karakterkalkulator"
"karakterkalkulatir"	"Karakterkalkulator"
"karakterkalkulatoe"	"Karakterkalkulator"
"karanfører"	"kranfører"
"kardiolo"	"kardiolog"
"kariere"	"karriere"
"kariereveileder"	"karriereveileder"
"karkaterkalkulator"	"Karakterkalkulator"
"karmsund vgs"	"naturbruk Vg3"
"karoseri"	"karosseri"
"karosserimekaniker"	"karosseri mekaniker"
"karriere rådgiver"	"karriererådgiver"
"karriere veiledning"	"karriereveiledning"
"karrierehjul"	"karrierehjul"
"karrierehjulet"	"karrierehjul"
"karrierekalkulator"	"Karakterkalkulator"
"karriereplanlegeren"	"Karriereplanleggeren"
"karriereplanlegger"	"Karriereplanleggeren"
"karriereveielder"	"karriereveileder"
"karriereveildeder"	"karriereveileder"
"karriereveildening"	"karriereveiledning"
"karriereveilder"	"karriereveileder"
"karrierevelger"	"karrierevelger"
"karrierveileder"	"karriereveileder"
"karrierveiledning"	"karriereveiledning"
"karrieveiledning"	"karriereveiledning"
"karriæreveileder"	"karriereveileder"
"karriæreveiledning"	"karriereveiledning"
"karroseri"	"karosseri"
"kassamann"	"kassamann"
"kassamedarbeider"	"kassemedarbeider"
"kasse dame"	"kassadame"
"kasseansatt"	"kasseansatt"
"kassedame"	"kassadame"
"kassemann"	"kassamann"
"kasseopperatør"	"kasseoperatør"
"kasserar"	"kasserer"
"kassør"	"kassør"
"katering"	"catering"
"katiket"	"kateket"
"katinemedarbeider"	"kantinemedarbeider"
"kattedralskolen"	"katedralskolen"
"kda"	"KDA"
"kebabkjappe"	"kebabsjappe"
"keldner"	"kelner"
"kemi ingeniør"	"kjemiingeniør"
"kemi og prosess"	"kjemi og prosess"
"kemiingenør"	"kjemiingeniør"
"kemiker"	"kjemiker"
"kemiprosess"	"kjemiprosess"
"key acount manager"	"key account manager"
"kigurg"	"kirurg"
"kikrurg"	"kirurg"
"kikurg"	"kirurg"
"kiminolog"	"kriminolog"
"kiminologi"	"kriminologi"
"kineseologi"	"kinesiologi"
"kinesolog"	"kinesiologi"
"kinesologi"	"kinesiologi"
"kiopraktor"	"kiropraktor"
"kipros"	"Kripos"
"kirgurg"	"kirurg"
"kiripraktor"	"kiropraktor"
"kirirg"	"kirurg"
"kiriug"	"kirurg"
"kiriurg"	"kirurg"
"kirkegårdarbeider"	"kirkegårdsarbeider"
"kirkegårdsmedarbeider"	"kirkegårdsmedarbeider"
"kirkemusikker"	"kirkemusiker"
"kirkopraktor"	"kiropraktor"
"kirkurg"	"kirurg"
"kirolog"	"virolog"
"kirop"	"kiropraktor"
"kiropaktor"	"kiropraktor"
"kiroprakt"	"kiropraktor"
"kiroprakter"	"kiropraktor"
"kiropraktik"	"kiropraktikk"
"kiropraktiker"	"kiropraktor"
"kiropraktir"	"kiropraktor"
"kiroprakto"	"kiropraktor"
"kiropraktoe"	"kiropraktor"
"kiropraktro"	"kiropraktor"
"kiropraktør"	"kiropraktor"
"kiropraltor"	"kiropraktor"
"kiroprator"	"kiropraktor"
"kiroprsktor"	"kiropraktor"
"kiroptraktor"	"kiropraktor"
"kirorg"	"kirurg"
"kirpraktor"	"kiropraktor"
"kirrug"	"kirurg"
"kirrurg"	"kirurg"
"kiru"	"kirurg"
"kirueg"	"kirurg"
"kirug"	"kirurg"
"kirupraktor"	"kiropraktor"
"kirur"	"kirurg"
"kirurf"	"kirurg"
"kirurgisksykepleier"	"kirurgisk sykepleier"
"kirurgsykepleie"	"kirurg sykepleier"
"kirurgsykepleier"	"kirurg sykepleier"
"kirurh"	"kirurg"
"kirurk"	"kirurg"
"kirurug"	"kirurg"
"kirutg"	"kirurg"
"kiruurg"	"kirurg"
"kiryrg"	"kirurg"
"kitopraktor"	"kiropraktor"
"kiturg"	"kirurg"
"kiurg"	"kirurg"
"kiwi annsatt"	"Kiwi-ansatt"
"kjef"	"sjef"
"kjelepasser"	"kjelpasser"
"kjemi ingeniør ntnu"	"kjemiingeniør NTNU"
"kjemi ingenjør"	"kjemiingeniør"
"kjemi ingenør"	"kjemiingeniør"
"kjemi inginiør"	"kjemiingeniør"
"kjemi inginør"	"kjemiingeniør"
"kjemi lærer"	"kjemilærer"
"kjemi og proses"	"kjemi og prosess"
"kjemi og prosessoperatør"	"kjemi og prosessoperatør"
"kjemi og prosses"	"kjemi og prosess"
"kjemi og prossess"	"kjemi og prosess"
"kjemi proses"	"kjemi og prosess"
"kjemi prosses"	"kjemi og prosess"
"kjemi prossess"	"kjemi og prosess"
"kjemi årstudium"	"kjemi årsstudium"
"kjemii"	"kjemi"
"kjemiin"	"kjemi"
"kjemiinge"	"kjemiingeniør"
"kjemiingeiør"	"kjemiingeniør"
"kjemiinginør"	"kjemiingeniør"
"kjemiingniør"	"kjemiingeniør"
"kjemik"	"kjemisk"
"kjemikaler"	"kjemiker"
"kjemikee"	"kjemiker"
"kjemikere"	"kjemiker"
"kjemikker"	"kjemiker"
"kjemingeniør"	"kjemiingeniør"
"kjemioperatør"	"kjemioperatør"
"kjemiopperatør"	"kjemioperatør"
"kjemiopratør"	"kjemioperatør"
"kjemip"	"kjemi"
"kjemipro"	"kjemi prosess"
"kjemiproses"	"kjemiprosess"
"kjemiprosessor"	"kjemiprosess"
"kjemipross"	"kjemiprosess"
"kjemiprosse"	"kjemiprosess"
"kjemiprosses"	"kjemiprosess"
"kjemiprossesfaget"	"kjemiprosessfaget"
"kjemiprossesor"	"kjemiprosess"
"kjemiprossess"	"kjemiprosess"
"kjemisk ingenør"	"kjemiingeniør"
"kjemisker"	"kjemiker"
"kjemist"	"kjemisk"
"kjeramiker"	"keramiker"
"kjeramikk"	"keramikk"
"kjernefysikker"	"kjernefysiker"
"kjerurg"	"kirurg"
"kjeve kirurg"	"kjevekirurg"
"kjeve ortopedisk"	"kjeveortopedi"
"kjeveortope"	"kjeveortoped"
"kjeveortopedspesialisering"	"kjeveortopedspesialisering"
"kjevortoped"	"kjeveortoped"
"kjiropraktor"	"kiropraktor"
"kjirurg"	"kirurg"
"kjmi"	"kjemi"
"kjmiker"	"kjemiker"
"kjofør"	"sjåfør"
"kjole og drakt syer"	"kjole- og draktsyer"
"kjosk"	"kiosk"
"kjystvakt"	"kystvakt"
"kjæveortoped"	"kjeveortoped"
"kjøfer"	"sjåfør"
"kjøfør"	"sjåfør"
"kjøfår"	"sjåfør"
"kjøkensjef"	"kjøkkensjef"
"kjøkken konsulent"	"kjøkkenkonsulent"
"kjøkken leder"	"kjøkkenleder"
"kjøkken medarbeider"	"kjøkkenmedarbeider"
"kjøkken montør"	"kjøkkenmontør"
"kjøkken selger"	"kjøkkenselger"
"kjøkkenasistent"	"kjøkkenassistent"
"kjøkkenassisten"	"kjøkkenassistent"
"kjøle montør"	"kjølemontør"
"kjøle tekniker"	"kjøletekniker"
"kjøleteknikker"	"kjøletekniker"
"kjøn og valg"	"kjønn og valg"
"kjønn og arbeidsli"	"kjønn og arbeidsliv"
"kjønnsosiologi"	"kjønn sosiologi"
"kjønnstudie"	"kjønnsstudier"
"kjønnstudier"	"kjønnsstudier"
"kjønnstudium"	"kjønnsstudier"
"kjønsfordeling"	"kjønnsfordeling"
"kjøpemann"	"kjøpmann"
"kjøpsmann"	"kjøpmann"
"kjørekærer"	"kjørelærer"
"kjørelerer"	"kjørelærer"
"kjørelærar"	"kjørelærer"
"kjørelære"	"kjørelærer"
"kjørelører"	"kjørelærer"
"kjørerlærer"	"kjørelærer"
"kjøretly"	"kjøretøy"
"kjøretoy"	"kjøretøy"
"kjøretø"	"kjøretøy"
"kjøretøy vg2"	"påbygg Vg3"
"kjørtøy"	"kjøretøy"
"kjøtskjærer"	"kjøttskjærer"
"kjøttindustriarbeider"	"kjøttindustriarbeider"
"kjøttkjærer"	"kjøttskjærer"
"kjøttskjerer"	"kjøttskjærer"
"kkg"	"KKG"
"kkokk"	"kokk"
"klatre instruktør"	"klatreinstruktør"
"klema energi og miliøteknikk"	"klima-, energi- og miljøteknikk"
"kles design"	"klesdesign"
"klesdeigner"	"klesdesigner"
"klesselger"	"klasseleder"
"klima forsker"	"klimaforsker"
"klinikkmedarbeider"	"klinikkmedarbeider"
"klinisk enæring"	"klinisk ernæring"
"klinisk ernæringfysiolog"	"klinisk ernæringsfysiolog"
"klinisk ernæringsfysolog"	"klinisk ernæringsfysiolog"
"klinisk fysioterapaut"	"klinisk fysioterapaut"
"klinisk sosinom"	"klinisk sosionom"
"klinisk ærnering"	"klinisk ernæring"
"klinisk ærneringsfysiolog"	"klinisk ernæringsfysiolog"
"klinsk ernæring"	"klinisk ernæring"
"kloakarbeider"	"kloakkarbeider"
"kloakkguide"	"kloakkguide"
"kloakktømmer"	"kloakktømmer"
"kloakrenser"	"kloakkrenser"
"kloaktømmer"	"kloakktømmer"
"knuseverksoperatør"	"knuseverkoperatør"
"koditor"	"konditor"
"kognetiv"	"kognitiv"
"kognetiv terapi"	"kognitiv terapi"
"kognetiv vitenskap"	"kognitiv vitenskap"
"kognitiv adferdsterapi"	"kognitiv atferdsterapi"
"kognitiv terapaut"	"kognitiv terapeut"
"kognitiv terpai"	"kognitiv terapi"
"kognitivterapi"	"kognitiv terapi"
"kognitivvitenskap"	"kognitiv vitenskap"
"kok"	"kokk"
"kok og servitør"	"kokk og servitør"
"kokk lærling"	"kokkelærling"
"kokl"	"kokk"
"komandant"	"kommandant"
"komandør"	"kommandør"
"komass"	"kompass"
"komditor"	"konditor"
"komentator"	"kommentaror"
"komikere"	"komiker"
"komikker"	"komiker"
"kominikasjon"	"kommunikasjon"
"kommentaror"	"kommentaror"
"kommentatorar"	"kommentaror"
"kommenterer"	"kommentaror"
"kommpass"	"kompass"
"kommunal sjef"	"kommunalsjef"
"kommune ansatt"	"kommuneansatt"
"kommunedirektør"	"kommunaldirektør"
"kommunesjef"	"kommunalsjef"
"kommunetekniker"	"kommunaltekniker"
"kommunikasj"	"kommunikasjon"
"kommunikasjon og medie"	"kommunikasjon og media"
"kommunikasjon rådgiver"	"kommunikasjonsrådgiver"
"kommunikasjonrådgiver"	"kommunikasjonsrådgiver"
"kommunikasjons ingeniør"	"kommunikasjonsingeniør"
"kommunikasjons konsulent"	"kommunikasjonskonsulent"
"kommunikasjons sjef"	"kommunikasjonssjef"
"kommunikasjons teknologi"	"kommunikasjonsteknologi"
"kommunikasjonsjef"	"kommunikasjonssjef"
"kommunikasjonsteknolog"	"kommunikasjonsteknologi"
"kommunkasjonsrådgiver"	"kommunikasjonsrådgiver"
"komnikasjon"	"kommunikasjon"
"kompas"	"kompass"
"kompase"	"kompass"
"kompaset"	"kompass"
"kompass"	"kompass"
"kompasset"	"kompass"
"kompasss"	"kompass"
"kompetanebevis"	"kompetansebevis"
"kompetanse bevis"	"kompetansebevis"
"kompetansebrev"	"kompetansebevis"
"kompletering"	"komplettering"
"kompss"	"kompass"
"komsulent"	"konsulent"
"komunaldirektør"	"kommunaldirektør"
"komunalsjef"	"kommunalsjef"
"komune"	"kommune"
"komunearbeider"	"kommunearbeider"
"komunikasjon"	"kommunikasjon"
"komunikasjonsrådgiver"	"kommunikasjonsrådgiver"
"komunikasjonsteknologi"	"kommunikasjonsteknologi"
"komunne"	"kommune"
"kondiktor"	"konditor"
"kondit"	"konditor"
"konditer"	"konditor"
"kondito"	"konditor"
"konditoe"	"konditor"
"konditor lærling"	"konditorlærling"
"konditot"	"konditor"
"konditro"	"konditor"
"konditør"	"konditor"
"kondoktør"	"konduktør"
"kondotor"	"konduktør"
"kondtor"	"konditor"
"konduktø"	"konduktør"
"kondukyør"	"konduktør"
"kondultør"	"konduktør"
"kondutør"	"konduktør"
"kondøktør"	"konduktør"
"konfransier"	"konferansier"
"konfuktør"	"konduktør"
"kongsber"	"kongsberg"
"konitor"	"konditor"
"konkuransepoeng"	"konkurransepoeng"
"konomi og ledelse"	"økonomi og ledelse"
"konpass"	"kompass"
"konseptillustrasjon"	"konseptillustrasjon"
"konser"	"konsern"
"konsern sjef"	"konsernsjef"
"konsernskjef"	"konsernsjef"
"konservatør"	"konservator"
"konsitor"	"konditor"
"konsolent"	"konsulent"
"konstruksjon ingeniør"	"konstruksjonsingeniør"
"konsuktør"	"konduktør"
"konsulant"	"konsulent"
"konsulet"	"konsulent"
"kontaklærer"	"kontaktlærer"
"kontitor"	"konditor"
"kontomedarbeider"	"kontormedarbeider"
"kontor adminstrasjon"	"kontor og administrasjon"
"kontor arbeid"	"kontorarbeid"
"kontor assistent"	"kontorassistent"
"kontor og administrasjon medarbeider"	"kontor- og administrasjonsmedarbeider"
"kontor og administrasjonfaget"	"kontor- og administrasjonsfag"
"kontor og administrasjonmedarbeider"	"kontor- og administrasjonsmedarbeider"
"kontor og adminstrasjon"	"kontor og administrasjon"
"kontor sjef"	"kontorsjef"
"kontormedar"	"kontormedarbeider"
"kontormedarbaider"	"kontormedarbeider"
"kontormedarbeid"	"kontormedarbeider"
"kontormedarbeidar"	"kontormedarbeider"
"kontormedarbeidere"	"kontormedarbeider"
"kontrolloperatør raffineringsanlegg"	"kontroll operatør raffineringsanlegg"
"kontrolloperatører"	"kontroll operatører"
"kontrolør"	"kontrollør"
"kontuktør"	"konduktør"
"konulent"	"konsulent"
"konurransepoeng"	"konkurransepoeng"
"kook"	"kokk"
"kookk"	"kokk"
"koordinator"	"koordinator"
"koordinatør"	"koordinator"
"kopass"	"kompass"
"kordinator"	"koordinator"
"kordiolog"	"kardiolog"
"kordmor"	"jordmor"
"koregraf"	"koreograf"
"koregrafer"	"koreograf"
"korespodent"	"korrespondent"
"korespondant"	"korrespondent"
"korespondent"	"korrespondent"
"korograf"	"koreograf"
"korrenspondent"	"korrespondent"
"korrespodent"	"korrespondent"
"korrespondant"	"korrespondent"
"korurg"	"kirurg"
"kosmetik"	"kosmetikk"
"kosmetis"	"kosmetisk"
"kosmetisk sjukepleier"	"kosmetisk sykepleier"
"kosmetisksykepleier"	"kosmetisk sykepleier"
"kosmetokog"	"kosmetolog"
"kosmotolog"	"kosmetolog"
"kostholdveileder"	"kostholdsveileder"
"kostmetisk sykepleier"	"kosmetisk sykepleier"
"kostyme design"	"kostymedesign"
"kostyme designer"	"kostymedesigner"
"kosulent"	"konsulent"
"krabbe fisker"	"krabbefisker"
"kraftverksingeniør"	"kraftverksingeniør"
"krakter"	"karakter"
"kran operatør"	"kranoperatør"
"kranbil sjåfør"	"kranbilsjåfør"
"kranbilfører"	"kranbilfører"
"kranbilsjofør"	"kranbilsjåfør"
"kranf"	"kranfører"
"kranførere"	"kranfører"
"krankjører"	"kranfører"
"kranmekaniker"	"krantekniker"
"kranopratør"	"kranoperatør"
"kransjåfør"	"kranfører"
"kranteknikker"	"krantekniker"
"krativ"	"kreativ"
"kref"	"kreft"
"kreft forsker"	"kreftforsker"
"kreft lege"	"kreftlege"
"kreftkordinator"	"kreftkoordinator"
"kreftpleier"	"kreftpleier"
"kreftsjukepleier"	"kreftsykepleier"
"krematorie"	"krematorium"
"krematoriearbeider"	"krematoriearbeider"
"krematoriemedarbeider"	"krematoriearbeider"
"kretskortmontør"	"kretskortmontør"
"krigskolen"	"Krigsskolen"
"krigsskolen"	"Krigsskolen"
"krim etterforsker"	"krimetterforsker"
"krim journalist"	"krimjournalist"
"krim tekniker"	"krimtekniker"
"krimenologi"	"kriminologi"
"krimeterforsker"	"krimetterforsker"
"krimforsker"	"krimetterforsker"
"krimi"	"kriminal"
"krimilog"	"kriminolog"
"krimilogi"	"kriminologi"
"kriminal"	"kriminal"
"kriminal omsorg"	"kriminalomsorgen"
"kriminal omsorgen"	"kriminalomsorgen"
"kriminal psykolog"	"kriminalpsykolog"
"kriminal psykologi"	"kriminalpsykologi"
"kriminal teknikk"	"kriminalteknikk"
"kriminal teknikker"	"kriminaltekniker"
"kriminaldektektiv"	"kriminaldetektiv"
"kriminaldetektiv"	"kriminaldetektiv"
"kriminale"	"kriminal"
